route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
30000010,26043002,260430020057S4,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26043002,260430020057S5,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26043002,260430020057S6,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26043002,260430020057S7,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26043002,260430020057S8,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26043002,260430020057S9,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26043002,260430020058S10,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26043002,260430020058S11,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26043002,260430020058S12,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26043002,260430020058S13,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26043002,260430020058S14,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26043002,260430020058S15,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26043002,260430020058S16,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26043002,260430020058S2,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26043002,260430020058S3,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26043002,260430020058S4,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26043002,260430020058S5,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26043002,260430020058S6,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26043002,260430020058S7,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26043002,260430020058S8,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000010,26043002,260430020058S9,MRT BANDAR UTAMA - MUTIARA TROPICANA,0,1000000335
30000011,26031301,260313010061S10,MRT BANDAR UTAMA - TAMAN TUN DR ISMAIL (NORTH) / KG SG PENCHALA,0,1000000336
30000011,26031301,260313010061S11,MRT BANDAR UTAMA - TAMAN TUN DR ISMAIL (NORTH) / KG SG PENCHALA,0,1000000336
30000011,26031301,260313010061S12,MRT BANDAR UTAMA - TAMAN TUN DR ISMAIL (NORTH) / KG SG PENCHALA,0,1000000336
30000011,26031301,260313010061S13,MRT BANDAR UTAMA - TAMAN TUN DR ISMAIL (NORTH) / KG SG PENCHALA,0,1000000336
30000011,26031301,260313010061S14,MRT BANDAR UTAMA - TAMAN TUN DR ISMAIL (NORTH) / KG SG PENCHALA,0,1000000336
30000011,26031301,260313010061S15,MRT BANDAR UTAMA - TAMAN TUN DR ISMAIL (NORTH) / KG SG PENCHALA,0,1000000336
30000011,26031301,260313010061S16,MRT BANDAR UTAMA - TAMAN TUN DR ISMAIL (NORTH) / KG SG PENCHALA,0,1000000336
30000011,26031301,260313010061S17,MRT BANDAR UTAMA - TAMAN TUN DR ISMAIL (NORTH) / KG SG PENCHALA,0,1000000336
30000011,26031301,260313010061S18,MRT BANDAR UTAMA - TAMAN TUN DR ISMAIL (NORTH) / KG SG PENCHALA,0,1000000336
30000011,26031301,260313010061S19,MRT BANDAR UTAMA - TAMAN TUN DR ISMAIL (NORTH) / KG SG PENCHALA,0,1000000336
30000011,26031301,260313010061S2,MRT BANDAR UTAMA - TAMAN TUN DR ISMAIL (NORTH) / KG SG PENCHALA,0,1000000336
30000011,26031301,260313010061S20,MRT BANDAR UTAMA - TAMAN TUN DR ISMAIL (NORTH) / KG SG PENCHALA,0,1000000336
30000011,26031301,260313010061S3,MRT BANDAR UTAMA - TAMAN TUN DR ISMAIL (NORTH) / KG SG PENCHALA,0,1000000336
30000011,26031301,260313010061S4,MRT BANDAR UTAMA - TAMAN TUN DR ISMAIL (NORTH) / KG SG PENCHALA,0,1000000336
30000011,26031301,260313010061S5,MRT BANDAR UTAMA - TAMAN TUN DR ISMAIL (NORTH) / KG SG PENCHALA,0,1000000336
30000011,26031301,260313010061S6,MRT BANDAR UTAMA - TAMAN TUN DR ISMAIL (NORTH) / KG SG PENCHALA,0,1000000336
30000011,26031301,260313010061S7,MRT BANDAR UTAMA - TAMAN TUN DR ISMAIL (NORTH) / KG SG PENCHALA,0,1000000336
30000011,26031301,260313010061S8,MRT BANDAR UTAMA - TAMAN TUN DR ISMAIL (NORTH) / KG SG PENCHALA,0,1000000336
30000011,26031301,260313010061S9,MRT BANDAR UTAMA - TAMAN TUN DR ISMAIL (NORTH) / KG SG PENCHALA,0,1000000336
30000011,26031301,260313010062S10,MRT BANDAR UTAMA - TAMAN TUN DR ISMAIL (NORTH) / KG SG PENCHALA,0,1000000336
30000011,26031301,260313010062S11,MRT BANDAR UTAMA - TAMAN TUN DR ISMAIL (NORTH) / KG SG PENCHALA,0,1000000336
30000011,26031301,260313010062S12,MRT BANDAR UTAMA - TAMAN TUN DR ISMAIL (NORTH) / KG SG PENCHALA,0,1000000336
30000011,26031301,260313010062S13,MRT BANDAR UTAMA - TAMAN TUN DR ISMAIL (NORTH) / KG SG PENCHALA,0,1000000336
30000011,26031301,260313010062S14,MRT BANDAR UTAMA - TAMAN TUN DR ISMAIL (NORTH) / KG SG PENCHALA,0,1000000336
